GeneName	n_homAA	n_hetRA
A1BG	0	2540
A1CF	0	1
A2M	0	0
A2ML1	0	3
A3GALT2	0	1
A4GALT	44	0
A4GNT	0	1
AAAS	0	0
AACS	0	1002
AADAC	0	1
AADACL2	0	828
AADACL3	0	0
AADACL4	0	87
AADAT	0	3337
AAGAB	0	10
AAK1	69	0
AAMDC	0	11
AAMP	0	3084
AANAT	0	22
AAR2	0	0
AARD	0	2
AARS1	0	11
AARS2	1	0
AARSD1	0	0
AASDH	37	193
AASDHPPT	0	58
AASS	30	13
AATF	0	0
AATK	0	48
ABAT	0	3
ABCA1	0	0
ABCA10	0	0
ABCA12	0	45
ABCA13	0	0
ABCA2	0	0
ABCA3	1	0
ABCA4	0	0
ABCA5	0	33605
ABCA6	0	366
ABCA7	15	219
ABCA8	0	6959
ABCA9	0	33
ABCB1	0	0
ABCB10	0	0
ABCB11	6	0
ABCB4	6	0
ABCB5	0	0
ABCB6	0	2950
ABCB7	0	7669
ABCB8	0	346
ABCB9	0	33
ABCC1	0	236
ABCC10	0	1
ABCC11	0	5562
ABCC12	0	128
ABCC2	0	1
ABCC3	0	0
ABCC4	0	1
ABCC5	0	0
ABCC6	0	18
ABCC8	0	562
ABCC9	0	347
ABCD1	0	0
ABCD2	51	0
ABCD3	0	0
ABCD4	0	2
ABCE1	0	0
ABCF1	0	3
ABCF2	0	1
ABCF3	0	0
ABCG1	0	1
ABCG2	0	0
ABCG4	0	0
ABCG5	0	99
ABCG8	1	784
ABHD1	0	0
ABHD10	0	30
ABHD11	0	3
ABHD12	0	0
ABHD12B	0	0
ABHD13	0	0
ABHD14A	0	2151
ABHD14A-ACY1	0	12948
ABHD14B	0	0
ABHD15	0	10039
ABHD16A	0	186
ABHD16B	0	0
ABHD17A	0	442
ABHD17B	0	0
ABHD17C	0	202
ABHD18	0	0
ABHD2	0	0
ABHD3	0	3
ABHD4	0	7555
ABHD5	1	19175
ABHD6	0	213
ABHD8	0	1500
ABI1	0	0
ABI2	0	0
ABI3	0	0
ABI3BP	0	320
ABITRAM	0	0
ABL1	0	0
ABL2	0	2029
ABLIM1	1	28
ABLIM2	0	9
ABLIM3	0	1123
ABO	0	0
ABR	0	39
ABRA	0	267
ABRACL	0	226
ABRAXAS1	0	56
ABRAXAS2	0	492
ABT1	0	152
ABTB1	0	62
ABTB2	0	9
AC000120.3	0	181
AC000120.4	0	14
AC001226.2	0	6595
AC002094.3	0	0
AC002996.1	0	0
AC003002.1	0	0
AC003002.2	0	0
AC003002.3	0	12213
AC003006.1	4	1134
AC004076.1	0	0
AC004080.3	0	1762
AC004223.3	0	4
AC004593.2	0	1382
AC004691.2	0	159
AC004706.3	0	0
AC004832.3	0	439
AC004922.1	0	0
AC004997.1	0	2
AC005154.5	0	1414
AC005324.3	0	14
AC005551.1	0	72
AC005697.1	0	0
AC005702.1	0	0
AC005726.1	0	103
AC005833.1	0	6
AC005837.2	0	25
AC006059.2	94	0
AC006486.1	0	37
AC006538.2	0	3
AC007040.2	0	1
AC007244.1	0	0
AC007326.4	0	97
AC007846.2	0	5
AC007906.2	0	1
AC007998.2	0	0
AC008162.2	0	213
AC008397.1	0	42
AC008397.2	0	1
AC008403.1	0	0
AC008676.3	0	204
AC008687.1	0	258
AC008687.4	0	5
AC008695.1	0	0
AC008758.1	0	0
AC008758.5	0	0
AC008763.3	0	31
AC008764.4	0	0
AC008770.2	0	3
AC008770.4	0	1
AC008878.1	0	0
AC008878.3	0	250
AC008982.1	0	18
AC009070.1	0	0
AC009163.5	0	0
AC009412.1	0	53
AC009779.4	0	0
AC009879.2	0	2
